track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
favorite crime,Olivia Rodrigo,1,2021,5,21,3681,0,783706581,20,21,99,0,7,173,A,Major,-0.9795064790597858,0.6267970547115117,0.8451322826343408,-1.0391435748229285,-0.1886134947097773,-0.15610640586876123,-0.5450868522251393
Thunder,"Prezioso, Gabry Ponte, LUM!X",3,2021,5,7,4846,10,422691058,54,16,259,0,13,101,C#,Major,0.1758586447062178,0.8384462279677058,-0.39941447949982944,-0.09277542805291916,-0.1886134947097773,-0.8186669861377562,0.2337814256381615
The Business,Tiï¿½ï¿,1,2020,1,1,14311,0,1062345656,255,32,582,0,14,120,G#,Minor,0.10789599036704109,-0.6854278194768924,-0.461641817606538,-0.5659595014379238,-0.1886134947097773,-0.5978134593814245,-0.15565271329348893
I WANNA BE YOUR SLAVE,Mï¿½ï¿½ne,1,2021,3,19,4873,0,851070493,65,88,434,3,13,133,C#,Major,-0.43580524434637236,-0.17746980366202628,0.036176887247130134,-0.9208475564766774,-0.1886134947097773,-0.08248856361665068,-0.642445386958052
Vai Lï¿½ï¿½ Em Casa ,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, George Henrique &",2,2021,10,22,772,0,263894529,7,3,89,0,0,158,G#,Minor,0.5156719164021012,0.542137385409034,-0.7727785081400805,0.5775686759091708,-0.1886134947097773,-0.524195617129314,-0.7398039216909645
The Feels,TWICE,1,2021,10,1,1150,0,345903614,20,99,44,0,2,120,A,Major,-1.9309836398082594,-0.9817366620355642,0.7829049445276323,-0.8814155503612603,-0.1886134947097773,-0.8922848283898668,1.791517981364763
No Lie,"Sean Paul, Dua Lipa",2,2016,11,18,7370,0,956865266,92,127,"1,219",0,62,102,G,Major,1.603074385828928,-0.8124173234306089,-0.5238691557132465,-0.9208475564766774,-0.1886134947097773,-0.524195617129314,-0.05829417856057632
OUT OUT (feat. Charli XCX & Saweetie),"Charli XCX, Jax Jones, Joel Corry, Saweetie",4,2021,8,13,6890,0,427486004,122,11,201,0,1,124,G#,Minor,-1.5232077137731992,-1.0240664966868032,0.16063156346054716,0.2226806208704173,-0.1886134947097773,-0.37695993262509286,0.3311399603710741
Pope Is a Rockstar,SALES,1,2016,4,20,1966,0,156658366,4,2,50,0,0,90,E,Minor,0.9234478424371613,0.3304882121528398,1.1562689731678835,-0.684255519784175,-0.1886134947097773,-0.524195617129314,-0.5450868522251393
2055,Sleepy hallow,1,2021,4,14,2226,0,624515457,29,0,44,0,0,161,F#,Minor,-0.503767898685549,0.28815837750160095,0.2850862396739642,-0.9602795625920945,-0.1886134947097773,2.935842968719882,-0.642445386958052
Bored,Billie Eilish,1,2017,3,30,4204,0,777765388,39,45,250,0,0,120,G,Major,0.03993333602786441,-0.4314488115694593,-0.586096493819955,-0.4082314769762556,-0.1886134947097773,-0.5978134593814245,0.1364228909052489
Astronaut In The Ocean,Masked Wolf,1,2019,1,1,7191,0,1138474110,146,18,478,0,7,150,E,Minor,0.1758586447062178,0.11883903889664559,0.40954091588738123,-1.0391435748229285,-0.1886134947097773,1.0953969124171181,-0.642445386958052
Ley Seca,"Anuel Aa, Jhay Cortez",2,2021,9,2,2012,0,355219175,101,12,38,0,0,105,G#,Major,1.0593731511155147,0.49980755075779515,0.5962229302075067,-0.4870954892070897,-0.1886134947097773,-0.15610640586876123,-0.44772831749222675
Every Summertime,NIKI,1,2021,8,10,1211,2,290228626,30,2,5,0,6,79,F#,Major,0.31178395338457116,-1.2357156699429972,-1.1461425367803317,-0.09277542805291916,-0.1886134947097773,-0.671431301633535,-0.44772831749222675
